,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
osmid,central city,city,osmname,,surface,osmwikipedia,osmlink,category,lat,lon,,,,,,,,,,,,,,,,,,,
170084415,Maastricht,jemeppe sur meuse,st lambert,river,1170.897153,NA,http://www.openstreetmap.org/way/170084415,,50.61647705,5.503912685,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
170084415,Maastricht,jemeppe sur meuse,st lambert,,year,,,,,,1200,1500,"nog niks van te vinden, maar door liggiing waarschijnlijk wel oud genoeg voor opname",,,,,,,,,,,,,,,,
170084415,Maastricht,jemeppe sur meuse,st lambert,,surface,,,,,,0,636,,,,,,,,,,,,,,,,,
170084415,Maastricht,jemeppe sur meuse,st lambert,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
170084415,Maastricht,jemeppe sur meuse,st lambert,,m3,,,,,,,,,,,,,,,,,,,,,,,,
170084415,Maastricht,jemeppe sur meuse,st lambert,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276742165,Maastricht,simpelveld,Sint-Remigiuskerk,land,1205.549355,https://nl.wikipedia.org/wiki/Sint-Remigiuskerk_(Simpelveld),http://www.openstreetmap.org/way/276742165,parish,50.83408912,5.982091507,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
276742165,Maastricht,simpelveld,Sint-Remigiuskerk,,year,, ,,,,1050,1140,,,,,,,,,,,,,,,,,
276742165,Maastricht,simpelveld,Sint-Remigiuskerk,,surface,,,,,,0,340,,,,,,,,,,,,,,,,,
276742165,Maastricht,simpelveld,Sint-Remigiuskerk,,height,,,,,,8,8,,,,,,,,,,,,,,,,,
276742165,Maastricht,simpelveld,Sint-Remigiuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
276742165,Maastricht,simpelveld,Sint-Remigiuskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214483170,Maastricht,bilzen,Sint-Ursulakerk,river,1233.339125,https://nl.wikipedia.org/wiki/Sint-Ursulakerk_(Eigenbilzen),http://www.openstreetmap.org/way/214483170,parish,50.87531475,5.574626598,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
214483170,Maastricht,bilzen,Sint-Ursulakerk,,year,,,,,,1200,1400,,,,,,,,,,,,,,,,,
214483170,Maastricht,bilzen,Sint-Ursulakerk,,surface,,,,,,0,640,,,,,,,,,,,,,,,,,
214483170,Maastricht,bilzen,Sint-Ursulakerk,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
214483170,Maastricht,bilzen,Sint-Ursulakerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
214483170,Maastricht,bilzen,Sint-Ursulakerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271244312,Maastricht,schinnen,St. Dionysiuskerk,river,1245.574711,http://www.kerkgebouwen-in-limburg.nl/kerken/schinnen/dionysius,http://www.openstreetmap.org/way/271244312,parish,50.94169753,5.888393223,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
271244312,Maastricht,schinnen,St. Dionysiuskerk,,year,,,,,,1100,1200,1201,1500,,,,,,,,,,,,,,,
271244312,Maastricht,schinnen,St. Dionysiuskerk,,surface,,,,,,0,400,,300,,,,,,,,,,,,,,,
271244312,Maastricht,schinnen,St. Dionysiuskerk,,height,,,,,,11,11,11,11,,,,,,,,,,,,,,,
271244312,Maastricht,schinnen,St. Dionysiuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
271244312,Maastricht,schinnen,St. Dionysiuskerk,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109784450,Maastricht,neerpelt,Sint-Niklaaskerk,land,1249.289672,https://nl.wikipedia.org/wiki/Sint-Niklaaskerk_(Neerpelt),http://www.openstreetmap.org/way/109784450,parish,51.22846994,5.432128241,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
109784450,Maastricht,neerpelt,Sint-Niklaaskerk,,year,,,,,,1200,1300,,,,,,,,,,,,,,,,,
109784450,Maastricht,neerpelt,Sint-Niklaaskerk,,surface,,,,,,0,640,,,,,,,,,,,,,,,,,
109784450,Maastricht,neerpelt,Sint-Niklaaskerk,,height,,,,,,11,11,,,,,,,,,,,,,,,,,
109784450,Maastricht,neerpelt,Sint-Niklaaskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
109784450,Maastricht,neerpelt,Sint-Niklaaskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450124177,Maastricht,diest,Onze-Lieve-Vrouwekerk,river,1272.121837,https://nl.wikipedia.org/wiki/Onze-Lieve-Vrouwekerk_(Diest),http://www.openstreetmap.org/way/450124177,parish,50.98730702,5.05709301,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
450124177,Maastricht,diest,Onze-Lieve-Vrouwekerk,,year,,,,,,1253,1288,,,,,,,,,,,,,,,,,
450124177,Maastricht,diest,Onze-Lieve-Vrouwekerk,,surface,,,,,,0,690,,,,,,,,,,,,,,,,,
450124177,Maastricht,diest,Onze-Lieve-Vrouwekerk,,height,,,,,,12,12,,,,,,,,,,,,,,,,,
450124177,Maastricht,diest,Onze-Lieve-Vrouwekerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
450124177,Maastricht,diest,Onze-Lieve-Vrouwekerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129774632,Maastricht,meerhou,Sint Trudokerk,river,1287.964398,http://www.meerhout.be/product.aspx?id=1266,http://www.openstreetmap.org/way/129774632,parish,51.13112823,5.078902862,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
129774632,Maastricht,meerhou,Sint Trudokerk,,year,,,,,,1050,1150,,,,,,,,,,,,,,,,,
129774632,Maastricht,meerhou,Sint Trudokerk,,surface,,,,,,0,370,,,,,,,,,,,,,,,,,
129774632,Maastricht,meerhou,Sint Trudokerk,,height,,,,,,9,9,,,,,,,,,,,,,,,,,
129774632,Maastricht,meerhou,Sint Trudokerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
129774632,Maastricht,meerhou,Sint Trudokerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174501593,Maastricht,heinsberg,Propsteikirche St. Gangolfus,land,1304.425657,de.wikipedia.org/wiki/St._Gangolf_(Heinsberg),http://www.openstreetmap.org/way/174501593,parish,51.05926015,6.093796892,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
174501593,Maastricht,heinsberg,Propsteikirche St. Gangolfus,,year,,,,,,1100,1200,,,,,,,,,,,,,,,,,
174501593,Maastricht,heinsberg,Propsteikirche St. Gangolfus,,surface,,,,,,0,700,,,,,,,,,,,,,,,,,
174501593,Maastricht,heinsberg,Propsteikirche St. Gangolfus,,height,,,,,,12,12,,,,,,,,,,,,,,,,,
174501593,Maastricht,heinsberg,Propsteikirche St. Gangolfus,,m3,,,,,,,,,,,,,,,,,,,,,,,,
174501593,Maastricht,heinsberg,Propsteikirche St. Gangolfus,,guestimate,,,,,,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92932497,Maastricht,lommel,Sint-Pietersbandenkerk,land,1329.38932,https://nl.wikipedia.org/wiki/Sint-Pietersbandenkerk_(Lommel),http://www.openstreetmap.org/way/92932497,,51.2285355,5.314951087,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
92932497,Maastricht,lommel,Sint-Pietersbandenkerk,,year,,,,,,1350,1400,,,,,,,,,,,,,,,,,
92932497,Maastricht,lommel,Sint-Pietersbandenkerk,,surface,,,,,,0,690,,,,,,,,,,,,,,,,,
92932497,Maastricht,lommel,Sint-Pietersbandenkerk,,height,,,,,,12,12,,,,,,,,,,,,,,,,,
92932497,Maastricht,lommel,Sint-Pietersbandenkerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
92932497,Maastricht,lommel,Sint-Pietersbandenkerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50644505,Maastricht,hammont achtel,sint laurentius kerk,land,1335.256446,https://nl.wikipedia.org/wiki/Sint-Laurentiuskerk_(Hamont),http://www.openstreetmap.org/way/50644505,parish,51.2517393,5.546393019,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
50644505,Maastricht,hammont achtel,sint laurentius kerk,,year,,,,,,1000,1200,1437,1500,,,,,,,,,,,,,,,
50644505,Maastricht,hammont achtel,sint laurentius kerk,,surface,,,,,,0,370,0,690,,,,,,,,,,,,,,,
50644505,Maastricht,hammont achtel,sint laurentius kerk,,height,,,,,,8,8,12,12,,,,,,,,,,,,,,,
50644505,Maastricht,hammont achtel,sint laurentius kerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
50644505,Maastricht,hammont achtel,sint laurentius kerk,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276810889,Maastricht,gulpen,sint petruskerk,land,1338.005116,https://nl.wikipedia.org/wiki/Sint-Petruskerk_(Gulpen),http://www.openstreetmap.org/way/276810889,parish,50.81472802,5.889178341,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
276810889,Maastricht,gulpen,sint petruskerk,,year,,,,,,1100,1300,,(inde loop van de tijd 200 m verplaatst),,,,,,,,,,,,,,,
276810889,Maastricht,gulpen,sint petruskerk,,surface,,,,,,0,370,,,,,,,,,,,,,,,,,
276810889,Maastricht,gulpen,sint petruskerk,,height,,,,,,8,8,,,,,,,,,,,,,,,,,
276810889,Maastricht,gulpen,sint petruskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
276810889,Maastricht,gulpen,sint petruskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132756223,Maastricht,zonhoven,St.-Quintinuskerk,land,1339.125941,https://nl.wikipedia.org/wiki/Sint-Quintinuskerk_(Zonhoven),http://www.openstreetmap.org/way/132756223,parish,50.99142709,5.367970208,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
132756223,Maastricht,zonhoven,St.-Quintinuskerk,,year,,,,,,1280,1320,,,,,,,,,,,,,,,,,
132756223,Maastricht,zonhoven,St.-Quintinuskerk,,surface,,,,,,0,370,,,,,,,,,,,,,,,,,
132756223,Maastricht,zonhoven,St.-Quintinuskerk,,height,,,,,,8,8,,,,,,,,,,,,,,,,,
132756223,Maastricht,zonhoven,St.-Quintinuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
132756223,Maastricht,zonhoven,St.-Quintinuskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133849879,Maastricht,mol,Sint-Pieter en Pauwelkerk,land,1347.987937,nl.wikipedia.org/wiki/Sint-Pieter_en_Pauwelkerk,http://www.openstreetmap.org/way/133849879,,51.18435949,5.116329575,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
133849879,Maastricht,mol,Sint-Pieter en Pauwelkerk,,year,,,,,,1450,1500,,,,,,,,,,,,,,,,,
133849879,Maastricht,mol,Sint-Pieter en Pauwelkerk,,surface,,,,,,0,690,,,,,,,,,,,,,,,,,
133849879,Maastricht,mol,Sint-Pieter en Pauwelkerk,,height,,,,,,12,12,,,,,,,,,,,,,,,,,
133849879,Maastricht,mol,Sint-Pieter en Pauwelkerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
133849879,Maastricht,mol,Sint-Pieter en Pauwelkerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275339051,Maastricht,beek,Sint-Martinuskerk,land,1383.067732,"nl.wikipedia.org/wiki/Sint-Martinuskerk_(Beek,_Nederlands_Limburg)",http://www.openstreetmap.org/way/275339051,,50.93860638,5.797339958,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
275339051,Maastricht,beek,Sint-Martinuskerk,,year,,,,,,1200,1300,,,,,,,,,,,,,,,,,
275339051,Maastricht,beek,Sint-Martinuskerk,,surface,,,,,,0,740,,,,,,,,,,,,,,,,,
275339051,Maastricht,beek,Sint-Martinuskerk,,height,,,,,,12,12,,,,,,,,,,,,,,,,,
275339051,Maastricht,beek,Sint-Martinuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
275339051,Maastricht,beek,Sint-Martinuskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280327460,Maastricht,heerlen,Sint-Pancratiuskerk,land,1389.389106,nl.wikipedia.org/wiki/Sint-Pancratiuskerk_(Heerlen),http://www.openstreetmap.org/way/280327460,parish,50.88772447,5.980175601,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
280327460,Maastricht,heerlen,Sint-Pancratiuskerk,,year,,,,,,900,1100,1101,1300,,,,,,,,,,,,,,,
280327460,Maastricht,heerlen,Sint-Pancratiuskerk,,surface,,,,,,0,500,,500,,,,,,,,,,,,,,,
280327460,Maastricht,heerlen,Sint-Pancratiuskerk,,height,,,,,,14,14,14,14,,,,,,,,,,,,,,,
280327460,Maastricht,heerlen,Sint-Pancratiuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
280327460,Maastricht,heerlen,Sint-Pancratiuskerk,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284904949,Maastricht,sittard,Kerk van Sint Petrus' Stoel te Antiochie,land,1409.509816,http://rijksmonumenten.nl/monument/33678/sint-petrus-stoel-van-antiochiakerk-gotische-kruisbasiliek-met-hoge-toren/sittard/,http://www.openstreetmap.org/way/284904949,parish,50.99869666,5.868131781,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
284904949,Maastricht,sittard,Kerk van Sint Petrus' Stoel te Antiochie,,year,,,,,,1200,1500,,,,,,,,,,,,,,,,,
284904949,Maastricht,sittard,Kerk van Sint Petrus' Stoel te Antiochie,,surface,,,,,,0,690,,,,,,,,,,,,,,,,,
284904949,Maastricht,sittard,Kerk van Sint Petrus' Stoel te Antiochie,,height,,,,,,12,12,,,,,,,,,,,,,,,,,
284904949,Maastricht,sittard,Kerk van Sint Petrus' Stoel te Antiochie,,m3,,,,,,,,,,,,,,,,,,,,,,,,
284904949,Maastricht,sittard,Kerk van Sint Petrus' Stoel te Antiochie,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109294920,Maastricht,overpelt,Sint-Martinuskerk,land,1432.432927,https://nl.wikipedia.org/wiki/Sint-Martinuskerk_(Overpelt),http://www.openstreetmap.org/way/109294920,parish,51.2112184,5.426183127,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
109294920,Maastricht,overpelt,Sint-Martinuskerk,,year,,,,,,1200,1300,,,,,,,,,,,,,,,,,
109294920,Maastricht,overpelt,Sint-Martinuskerk,,surface,,,,,,0,690,,,,,,,,,,,,,,,,,
109294920,Maastricht,overpelt,Sint-Martinuskerk,,height,,,,,,12,12,,,,,,,,,,,,,,,,,
109294920,Maastricht,overpelt,Sint-Martinuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
109294920,Maastricht,overpelt,Sint-Martinuskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145410131,Maastricht,Erkelenz,St. Lambertus,land,1500.0111,de.wikipedia.org/wiki/St._Lambertus_(Erkelenz),http://www.openstreetmap.org/way/145410131,parish,51.07999729,6.31547749,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
145410131,Maastricht,Erkelenz,St. Lambertus,,year,,,,,,700,800,1000,1200,1300,1500,,,,,,,,,,,,,
145410131,Maastricht,Erkelenz,St. Lambertus,,surface,,,,,,0,226,0,530,0,1300,,,,,,,,,,,,,
145410131,Maastricht,Erkelenz,St. Lambertus,,height,,,,,,7,7,10,10,16,16,,,,,,,,,,,,,
145410131,Maastricht,Erkelenz,St. Lambertus,,m3,,,,,,,,,,,,,,,,,,,,,,,,
145410131,Maastricht,Erkelenz,St. Lambertus,,guestimate,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443903751,Maastricht,st truiden,Minderbroederskerk,land,1507.855591,https://nl.wikipedia.org/wiki/Minderbroederskerk_(Sint-Truiden),http://www.openstreetmap.org/way/443903751,conventual,50.81391481,5.185589464,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
443903751,Maastricht,st truiden,Minderbroederskerk,,year,,,,,,1257,1258,,,,,,,,,,,,,,,,,
443903751,Maastricht,st truiden,Minderbroederskerk,,surface,,,,,,0,800,,,,,,,,,,,,,,,,,
443903751,Maastricht,st truiden,Minderbroederskerk,,height,,,,,,13,13,,,,,,,,,,,,,,,,,
443903751,Maastricht,st truiden,Minderbroederskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
443903751,Maastricht,st truiden,Minderbroederskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236756555,Maastricht,zoutleeuw,Sint-Leonardus,river,1541.613592,https://nl.wikipedia.org/wiki/Sint-Leonarduskerk_(Zoutleeuw),http://www.openstreetmap.org/way/236756555,other,50.83327279,5.103033112,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
236756555,Maastricht,zoutleeuw,Sint-Leonardus,,year,,,,,,1231,1500,,,,,,,,,,,,,,,,,
236756555,Maastricht,zoutleeuw,Sint-Leonardus,,surface,,,,,,0,1500,,,,,,,,,,,,,,,,,
236756555,Maastricht,zoutleeuw,Sint-Leonardus,,height,,,,,,17,17,,,,,,,,,,,,,,,,,
236756555,Maastricht,zoutleeuw,Sint-Leonardus,,m3,,,,,,,,,,,,,,,,,,,,,,,,
236756555,Maastricht,zoutleeuw,Sint-Leonardus,,guestimate,,,,,,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334208782,Maastricht,heuden zolder,Sint-Willibrorduskerk,land,1609.219231,https://nl.wikipedia.org/wiki/Sint-Willibrorduskerk_(Heusden),http://www.openstreetmap.org/way/334208782,,51.03393494,5.282068476,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
334208782,Maastricht,heuden zolder,Sint-Willibrorduskerk,,year,,,,,,1400,1500,,,,,,,,,,,,,,,,,
334208782,Maastricht,heuden zolder,Sint-Willibrorduskerk,,surface,,,,,,0,450,,,,,,,,,,,,,,,,,
334208782,Maastricht,heuden zolder,Sint-Willibrorduskerk,,height,,,,,,10,10,,,,,,,,,,,,,,,,,
334208782,Maastricht,heuden zolder,Sint-Willibrorduskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
334208782,Maastricht,heuden zolder,Sint-Willibrorduskerk,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144110983,Maastricht,geel,Sint-Amanduskerk,land,1665.923167,nl.wikipedia.org/wiki/Sint-Amandskerk_(Geel),http://www.openstreetmap.org/way/144110983,,51.16204544,4.990475338,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
144110983,Maastricht,geel,Sint-Amanduskerk,,year,,,,,,1100,1300,1490,1523,,,,,,,,,,,,,,,
144110983,Maastricht,geel,Sint-Amanduskerk,,surface,,,,,,0,900,0,1700,,,,,,,,,,,,,,,
144110983,Maastricht,geel,Sint-Amanduskerk,,height,,,,,,14,14,19,19,,,,,,,,,,,,,,,
144110983,Maastricht,geel,Sint-Amanduskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
144110983,Maastricht,geel,Sint-Amanduskerk,,guestimate,,,,,,1,1,0,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111168545,Maastricht,houthalen-helchteren,Sint-Martinuskerk,land,1683.850931,https://nl.wikipedia.org/wiki/Sint-Martinuskerk_(Houthalen),http://www.openstreetmap.org/way/111168545,parish,51.03150552,5.371989286,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
111168545,Maastricht,houthalen-helchteren,Sint-Martinuskerk,,year,,,,,,1100,1200,1400,1500,,,,,,,,,,,,,,,
111168545,Maastricht,houthalen-helchteren,Sint-Martinuskerk,,surface,,,,,,0,480,0,900,,,,,,,,,,,,,,,
111168545,Maastricht,houthalen-helchteren,Sint-Martinuskerk,,height,,,,,,10,10,14,14,,,,,,,,,,,,,,,
111168545,Maastricht,houthalen-helchteren,Sint-Martinuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
111168545,Maastricht,houthalen-helchteren,Sint-Martinuskerk,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144170522,Maastricht,geel,Sint-Dimpnakerk,land,1947.343727,nl.wikipedia.org/wiki/Sint-Dimpnakerk,http://www.openstreetmap.org/way/144170522,parish,51.16267466,5.002066277,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
144170522,Maastricht,geel,Sint-Dimpnakerk,,year,,,,,,1349,1585,,,,,,,,,,,,,,,,,
144170522,Maastricht,geel,Sint-Dimpnakerk,,surface,,,,,,0,1900,,,,,,,,,,,,,,,,,
144170522,Maastricht,geel,Sint-Dimpnakerk,,height,,,,,,20,20,,,,,,,,,,,,,,,,,
144170522,Maastricht,geel,Sint-Dimpnakerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
144170522,Maastricht,geel,Sint-Dimpnakerk,,guestimate,,,,,,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236817846,Maastricht,genk,Sint-Martinuskerk,land,1981.634193,nl.wikipedia.org/wiki/Sint-Martinuskerk_(Genk),http://www.openstreetmap.org/way/236817846,parish,50.96388734,5.500855089,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
236817846,Maastricht,genk,Sint-Martinuskerk,,year,,,,,,1000,1100,1400,1500,,,,,,,,,,,,,,,
236817846,Maastricht,genk,Sint-Martinuskerk,,surface,,,,,,0,500,,560,,,,,,,,,,,,,,,
236817846,Maastricht,genk,Sint-Martinuskerk,,height,,,,,,15,15,15,15,,,,,,,,,,,,,,,
236817846,Maastricht,genk,Sint-Martinuskerk,,m3,,,,,,,,,,,,,,,,,,,,,,,,
236817846,Maastricht,genk,Sint-Martinuskerk,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104148668,Maastricht,Andenne,Collégiale Sainte-Begge,river,2132.306897,fr.wikipedia.org/wiki/Collégiale_Sainte-Begge_d'Andenne,http://www.openstreetmap.org/way/104148668,conventual,50.48688686,5.100859483,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
104148668,Maastricht,Andenne,Collégiale Sainte-Begge,,year,,,,,,700,1100,,,,,,,,,,,,,,,,,
104148668,Maastricht,Andenne,Collégiale Sainte-Begge,,surface,,,,,,0,500,,,,,,,,,,,,,,,,,
104148668,Maastricht,Andenne,Collégiale Sainte-Begge,,height,,,,,,10,10,,,,,,,,,,,,,,,,,
104148668,Maastricht,Andenne,Collégiale Sainte-Begge,,m3,,,,,,,,,,,,,,,,,,,,,,,,
104148668,Maastricht,Andenne,Collégiale Sainte-Begge,,guestimate,,,,,,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76823759,Maastricht,kornelimunster,Ehemalige Reichsabtei (Benediktinerabtei) Kornelimünster,river,3608.307985,https://de.wikipedia.org/wiki/Reichsabtei_Kornelim%C3%BCnster,http://www.openstreetmap.org/way/76823759,conventual,50.72891502,6.181824692,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
76823759,Maastricht,kornelimunster,Ehemalige Reichsabtei (Benediktinerabtei) Kornelimünster,,year,,,,,,800,817,900,1000,1310,1400,,,,,,,,,,,,,
76823759,Maastricht,kornelimunster,Ehemalige Reichsabtei (Benediktinerabtei) Kornelimünster,,surface,,,,,,0,220,0,420,0,800,,,,,,,,,,,,,
76823759,Maastricht,kornelimunster,Ehemalige Reichsabtei (Benediktinerabtei) Kornelimünster,,height,,,,,,7,7,9,9,13,13,,,,,,,,,,,,,
76823759,Maastricht,kornelimunster,Ehemalige Reichsabtei (Benediktinerabtei) Kornelimünster,,m3,,,,,,,,,,,,,,,,,,,,,,,,
76823759,Maastricht,kornelimunster,Ehemalige Reichsabtei (Benediktinerabtei) Kornelimünster,,guestimate,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81244209,Maastricht,herve,Abbaye du Val-Dieu,land,4839.02957,https://fr.wikipedia.org/wiki/Abbaye_du_Val-Dieu,http://www.openstreetmap.org/way/81244209,conventual,50.69795128,5.805467513,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
81244209,Maastricht,herve,Abbaye du Val-Dieu,,year,,,,,,1180,1200,1331,1350,,,,,,,,,,,,,,,
81244209,Maastricht,herve,Abbaye du Val-Dieu,,surface,,,,,,0,420,0,800,,,,,,,,,,,,,,,
81244209,Maastricht,herve,Abbaye du Val-Dieu,,height,,,,,,9,9,13,13,,,,,,,,,,,,,,,
81244209,Maastricht,herve,Abbaye du Val-Dieu,,m3,,,,,,,,,,,,,,,,,,,,,,,,
81244209,Maastricht,herve,Abbaye du Val-Dieu,,guestimate,,,,,,1,1,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3753863,Maastricht,Kerkrade,Abdij Rolduc,river,6821.087086,https://nl.wikipedia.org/wiki/Abdijkerk_Rolduc,http://www.openstreetmap.org/relation/3753863,conventual,50.86813926,6.082211104,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
3753863,Maastricht,Kerkrade,Abdij Rolduc,,year,,,,,,1108,1130,1131,1138,1139,1143,1144,1209,,,,,,,,,,,
3753863,Maastricht,Kerkrade,Abdij Rolduc,,surface,,,,,,0,180,,200,,200,,320,,,,,,,,,,,
3753863,Maastricht,Kerkrade,Abdij Rolduc,,height,,,,,,14,14,14,14,14,14,14,14,,,,,,,,,,,
3753863,Maastricht,Kerkrade,Abdij Rolduc,,m3,,,,,,,,,,,,,,,,,,,,,,,,
3753863,Maastricht,Kerkrade,Abdij Rolduc,,guestimate,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61814289,Nuernberg (Nürnberg),sulzbach,St. Marien,land,1016.023433,https://de.wikipedia.org/wiki/St._Marien_(Sulzbach-Rosenberg),http://www.openstreetmap.org/way/61814289,parish,49.50552012,11.7385552,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
